conceptidprognosyrke;fa15nr;bedömning23;bedömning26;yrkesverksamma_antal;andel_kvinnor;andel_män;special;tillträde;pension;efterfråga;pil_2022_tilltr;pil_2026_tilltr;pil_2022_pension;pil_2026_pension;pil_2022_efterfråga;pil_2026_efterfråga;index;svårare_fa15nr;lättare_fa15nr;;;
1fWd_GB6_UgS;0;1;1;3707;36;64;;3;3;3;1,02;1,03;0,92;0,94;0,95;1,07;;;;;;
1fWd_GB6_UgS;1;;;;;;;;;;1,05;1,04;0,94;0,94;0,97;1,07;;;;;;
1fWd_GB6_UgS;2;;;;;;;;;;1,00;1,01;0,22;0,84;0,89;1,07;;;;;;
1fWd_GB6_UgS;3;;;;;;;;;;0,98;0,99;0,47;0,64;1,00;1,07;;;;;;
1fWd_GB6_UgS;4;;;;;;;;;;1,09;1,09;0,30;0,21;1,00;1,07;;;;;;
1fWd_GB6_UgS;5;;;;;;;;;;1,02;1,04;0,26;0,00;0,98;1,07;;;;;;
1fWd_GB6_UgS;6;;;;;;;;;;1,04;1,04;0,58;1,06;0,98;1,07;;;;;;
1fWd_GB6_UgS;7;;;;;;;;;;1,03;1,04;0,17;1,55;1,12;1,07;;;;;;
1fWd_GB6_UgS;8;;;;;;;;;;1,02;1,03;0,37;1,26;0,90;1,07;;;;;;
1fWd_GB6_UgS;9;;;;;;;;;;1,04;1,04;0,38;1,41;0,98;1,07;;;;;;
1fWd_GB6_UgS;10;;;;;;;;;;0,99;1,01;0,20;1,18;0,99;1,07;;;;;;
1fWd_GB6_UgS;11;;;;;;;;;;1,08;1,10;0,00;;0,85;1,07;;;;;;
1fWd_GB6_UgS;12;;;;;;;;;;1,03;1,05;0,12;0,00;1,02;1,07;;;;;;
1fWd_GB6_UgS;13;;;;;;;;;;1,03;1,04;0,66;1,09;0,95;1,07;;;;;;
1fWd_GB6_UgS;14;;;;;;;;;;1,03;1,02;0,62;1,56;0,94;1,07;;;;;;
1fWd_GB6_UgS;15;;;;;;;;;;1,04;1,04;0,87;0,97;0,93;1,07;;;;;;
1fWd_GB6_UgS;16;;;;;;;;;;1,01;1,01;0,25;0,47;0,98;1,07;;;;;;
1fWd_GB6_UgS;17;;;;;;;;;;1,04;1,04;0,25;0,25;0,96;1,07;;;;;;
1fWd_GB6_UgS;18;;;;;;;;;;1,05;1,04;0,56;1,10;1,05;1,07;;;;;;
1fWd_GB6_UgS;19;;;;;;;;;;1,02;1,02;0,72;0,70;0,90;1,07;;;;;;
1fWd_GB6_UgS;20;;;;;;;;;;1,05;1,06;0,05;2,00;0,89;1,07;;;;;;
1fWd_GB6_UgS;21;;;;;;;;;;1,03;1,04;0,08;2,00;0,82;1,07;;;;;;
1fWd_GB6_UgS;22;;;;;;;;;;1,02;1,02;0,45;0,67;0,99;1,07;;;;;;
1fWd_GB6_UgS;23;;;;;;;;;;1,03;1,03;0,94;0,99;0,95;1,07;;;;;;
