ar;antalEFT;antalPEN;antalTILL;antalEFTprognos;antalTILLprognos;antalPENprognos;conceptidprognosyrke
2015;1,00;1,00;1,00;;;;1JfT_7TR_tqA
2016;1,21;1,13;1,04;;;;1JfT_7TR_tqA
2017;1,25;1,23;1,07;;;;1JfT_7TR_tqA
2018;1,28;1,08;1,11;;;1,08;1JfT_7TR_tqA
2019;1,31;;1,13;1,31;1,13;0,96;1JfT_7TR_tqA
2020;;;;;1,19;0,77;1JfT_7TR_tqA
2021;;;;;1,23;0,68;1JfT_7TR_tqA
2022;;;;1,35;1,28;0,65;1JfT_7TR_tqA
2023;;;;;1,32;0,65;1JfT_7TR_tqA
2024;;;;;1,36;0,68;1JfT_7TR_tqA
2025;;;;;1,39;0,71;1JfT_7TR_tqA
2026;;;;1,38;1,42;0,77;1JfT_7TR_tqA
2015;1,00;1,00;1,00;;;;1Uj2_6JM_zuz
2016;1,24;1,44;1,02;;;;1Uj2_6JM_zuz
2017;1,26;1,52;1,03;;;;1Uj2_6JM_zuz
2018;1,29;2,17;1,04;;;2,17;1Uj2_6JM_zuz
2019;1,28;;1,02;1,28;1,02;1,24;1Uj2_6JM_zuz
2020;;;;;1,03;1,33;1Uj2_6JM_zuz
2021;;;;;1,05;1,42;1Uj2_6JM_zuz
2022;;;;1,43;1,06;1,50;1Uj2_6JM_zuz
2023;;;;;1,07;1,59;1Uj2_6JM_zuz
2024;;;;;1,08;1,68;1Uj2_6JM_zuz
2025;;;;;1,10;1,80;1Uj2_6JM_zuz
2026;;;;1,70;1,11;1,90;1Uj2_6JM_zuz
2015;1,00;1,00;1,00;;;;1Y5U_iZ4_Bo9
2016;1,14;1,41;1,02;;;;1Y5U_iZ4_Bo9
2017;1,21;1,44;1,03;;;;1Y5U_iZ4_Bo9
2018;1,18;1,91;1,03;;;1,91;1Y5U_iZ4_Bo9
2019;1,11;;1,00;1,11;1,00;1,00;1Y5U_iZ4_Bo9
2020;;;;;1,00;1,13;1Y5U_iZ4_Bo9
2021;;;;;1,00;1,22;1Y5U_iZ4_Bo9
2022;;;;1,22;1,00;1,26;1Y5U_iZ4_Bo9
2023;;;;;1,01;1,30;1Y5U_iZ4_Bo9
2024;;;;;1,01;1,37;1Y5U_iZ4_Bo9
2025;;;;;1,02;1,41;1Y5U_iZ4_Bo9
2026;;;;1,24;1,03;1,46;1Y5U_iZ4_Bo9
2015;1,00;1,00;1,00;;;;1fWd_GB6_UgS
2016;1,10;0,91;1,02;;;;1fWd_GB6_UgS
2017;1,03;0,73;1,04;;;;1fWd_GB6_UgS
2018;1,03;0,81;1,06;;;0,81;1fWd_GB6_UgS
2019;1,04;;1,05;1,04;1,05;0,47;1fWd_GB6_UgS
2020;;;;;1,06;0,45;1fWd_GB6_UgS
2021;;;;;1,06;0,43;1fWd_GB6_UgS
2022;;;;0,98;1,07;0,42;1fWd_GB6_UgS
2023;;;;;1,08;0,41;1fWd_GB6_UgS
2024;;;;;1,08;0,41;1fWd_GB6_UgS
2025;;;;;1,09;0,41;1fWd_GB6_UgS
2026;;;;1,05;1,10;0,41;1fWd_GB6_UgS
2015;1,00;1,00;1,00;;;;1zh5_cyL_wwJ
2016;1,24;1,28;1,02;;;;1zh5_cyL_wwJ
2017;1,27;1,27;1,04;;;;1zh5_cyL_wwJ
2018;1,29;1,39;1,04;;;1,39;1zh5_cyL_wwJ
2019;1,33;;1,01;1,33;1,01;1,00;1zh5_cyL_wwJ
2020;;;;;1,03;1,00;1zh5_cyL_wwJ
2021;;;;;1,05;1,04;1zh5_cyL_wwJ
